nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm00556691	Kevin Barnes	1974	\N	soundtrack,composer,actor	tt1245492,tt1571404,tt3844362,tt1060277	\N
nm00559881	Steve Barnett	\N	\N	production_manager,editorial_department,director	tt3402236,tt0454876,tt1630029,tt0375063	https://image.tmdb.org/t/p/{width_variable}/5oZi31INcuu7c4OQTGFqgWBj96R.jpg
nm00562171	Harold Pinter	1930	2008	writer,actor,director	tt0082416,tt0857265,tt0178737,tt0057490	https://image.tmdb.org/t/p/{width_variable}/w0ItHr1DFWT01i07354nFZ3cX04.jpg
nm00566861	María Barranco	1961	\N	actress,soundtrack	tt0095675,tt0099449,tt0101026,tt0099484	https://image.tmdb.org/t/p/{width_variable}/47iVJl6a8oOenab7LeYEnBO40xe.jpg
nm00570621	Andrew Lee Barrett	\N	\N	actor	tt0210429,tt0183575,tt0100437,tt0097665	\N
nm00586241	Raimund Barthelmes	1947	2019	editor,editorial_department,script_department	tt0087541,tt0245309,tt0098981,tt0077511	\N
nm00590101	Luciano Bartoli	1946	2019	actor	tt0061613,tt0192710,tt0246677,tt0082133	https://image.tmdb.org/t/p/{width_variable}/4ZiwZI4ZjOlnZ3e7jI16ak0Yonh.jpg
nm00594421	Franck Baruk	\N	\N	actor	tt0098986	\N
nm00594751	Anthony Barwick	\N	\N	writer	tt0096995	\N
nm00595991	Paco Bas	\N	\N	actor	tt0100655,tt0102154,tt0098429,tt0115930	\N
nm00597751	Vaikom Muhammad Basheer	\N	\N	writer	tt0155046,tt0097851,tt13886392,tt0213512	https://image.tmdb.org/t/p/{width_variable}/uJtqdg28aEddLGZCvTeY9bijMTY.jpg
nm00598001	Aleksandr Bashirov	1955	\N	actor,writer,director	tt0196228,tt0097561,tt1822279,tt0456781	https://image.tmdb.org/t/p/{width_variable}/vBuULrVPLihTDAAZZwcIaKk2TpU.jpg
nm00598051	Andrei Bashkirov	\N	\N	actor	tt0098004	\N
nm00598061	Vladimir Bashkirov	\N	\N	actor	tt1435047,tt1463390,tt0098004,tt2149275	\N
nm00601491	Rochus Bassauer	\N	\N	producer,writer	tt0256554,tt0090472,tt0105931,tt0218788	\N
nm00601631	Ulrich Bassenge	\N	\N	composer,music_department	tt1608334,tt0105295,tt0087191,tt0093849	\N
nm00612951	Gianlorenzo Battaglia	\N	\N	cinematographer,camera_department,writer	tt0081353,tt0073485,tt0087909,tt0081467	\N
nm00615281	Tim Battle	\N	\N	actor	tt0092312,tt0110146,tt0095902,tt0111219	\N
nm00618921	Mathieu Bauer	\N	\N	actor,director,writer	tt5896528,tt0469862,tt0099034,tt0100541	https://image.tmdb.org/t/p/{width_variable}/mO2TlC5Uh4d6avSORaQQ1iU0J6u.jpg
nm00619281	Sebastian Baur	1956	\N	actor	tt0078765,tt0094308,tt0115347,tt0806910	https://image.tmdb.org/t/p/{width_variable}/h3NAElIl0cFc5MlXLd8whRhEj18.jpg
nm00619781	Monika Bauert	1943	\N	costume_designer,production_designer,art_director	tt0119472,tt0089092,tt0082096,tt0071935	\N
nm00621061	Josef Baum	1955	\N	actor	tt0806910,tt0121941,tt0920505,tt0096587	\N
nm00623441	Ruth Baumgarten	1956	\N	producer,script_department	tt0154083,tt0988820,tt0297626,tt0297625	\N
nm00625441	Teddy Bautista	1943	\N	composer,soundtrack,actor	tt0062113,tt0071808,tt0083770,tt0085765	https://image.tmdb.org/t/p/{width_variable}/cBagQr2hzebM8a33kZHPjKjoHqA.jpg
nm00627851	Lynsey Baxter	1959	\N	actress,director,writer	tt0159199,tt0082416,tt0086177,tt0110125	https://image.tmdb.org/t/p/{width_variable}/zPv2QlMzvJjInh2k8EqN5wuYoWm.jpg
nm00631811	Jordi Bayona	1931	2013	actor,director,writer	tt0082959,tt0093508,tt0772917,tt0256612	\N
nm00632271	Clotilde de Bayser	1963	\N	actress	tt0412531,tt0413002,tt0098534,tt0095099	https://image.tmdb.org/t/p/{width_variable}/b6rxLD8i3bPjyC6H6qYsBkc0Dh7.jpg
nm00636131	Garm Beall	\N	\N	composer,soundtrack	tt0099878,tt0101876,tt0098199,tt0100460	\N
nm00637931	Katie Garner	\N	\N	actress	tt0099014	\N
nm00640101	Frank Beascoechea	1934	2016	cinematographer,director,camera_department	tt0081859,tt0083437,tt0078622,tt0077278	\N
nm00641891	Arthur Beatty	\N	\N	actor,cinematographer	tt15831508,tt0086577,tt0095670	\N
nm00645861	Debra Beaumont	1967	\N	actress	tt0095006,tt0120538,tt0106084,tt0098909	https://image.tmdb.org/t/p/{width_variable}/eKKH2HLAOvFC2qO4A1A0avaz4S4.jpg
nm00645931	Gabrielle Beaumont	1942	2022	director,producer,actress	tt0092455,tt0090466,tt0081873,tt0083470	https://image.tmdb.org/t/p/{width_variable}/e0jhS485VRWeoek2JecUssRtgRs.jpg
nm00647491	Ellie Beaven	1980	\N	actress,soundtrack	tt8681148,tt2701582,tt0260611,tt9686348	\N
nm00653041	Werner Beck	1928	\N	writer,miscellaneous,script_department	tt0068508,tt0184264,tt0058354,tt0124022	\N
nm00653521	Belinda Becker	\N	\N	actress,camera_department,producer	tt0127302,tt0109842,tt0098844,tt0096817	\N
nm00653531	Ben Becker	1964	\N	actor,director,writer	tt0806901,tt0806910,tt0114354,tt0128133	https://image.tmdb.org/t/p/{width_variable}/iSQifJQyugD1XBTJdMXG17qbR2W.jpg
nm00654961	Lars Becker	1954	\N	director,writer,actor	tt0195001,tt4479822,tt0938493,tt0285987	https://image.tmdb.org/t/p/{width_variable}/oNL6d51tHuQ14a0X4Cn6rcBZr4T.jpg
nm00657881	Chris Beckman	\N	\N	actor,producer	tt0097516	\N
nm00660401	Lou Bedford	1930	2005	actor	tt0105104,tt12606372,tt0087555,tt0137458	\N
nm00669411	Ernst Behmer	1875	1938	actor	tt0024724,tt0264166,tt0027351,tt0021674	\N
nm00670381	Klaus J. Behrendt	1960	\N	actor	tt0111870,tt0359679,tt1226281,tt0806910	https://image.tmdb.org/t/p/{width_variable}/x472zAsHocip8iqfMTJj3tvDdkb.jpg
nm00671231	György Behár	1914	1995	composer,soundtrack,director	tt0169931,tt0136966,tt9596248,tt0097475	\N
nm00688711	Anthony Spinelli	1927	2000	director,producer,actor	tt0196451,tt0082824,tt0081596,tt0085446	https://image.tmdb.org/t/p/{width_variable}/dhFLXi0DXFKt5ISP1RlOUGeHC4J.jpg
nm00690641	Andreas Bellis	1939	\N	cinematographer,actor,camera_department	tt0072285,tt0079711,tt0084610,tt1525429	\N
nm00693101	Alain Belmondo	1931	\N	production_manager,producer,actor	tt0091982,tt0082949,tt0085900,tt0087742	https://image.tmdb.org/t/p/{width_variable}/14joWbpKevwpaEHuco9iqj51ZzD.jpg
nm00694101	Edmund Beloin	1910	1992	producer,writer,actor	tt0038341,tt0037859,tt0053848,tt0041429	\N
nm00694601	Tatyana Belousova	\N	\N	editor,editorial_department,assistant_director	tt0131541,tt0438961,tt0322250,tt1388358	\N
nm00696831	Andrea Beltrão	1964	\N	actress,writer,soundtrack	tt0119878,tt10863980,tt1974895,tt0257919	https://image.tmdb.org/t/p/{width_variable}/3hHhuMyEUEy9iEYeLz15Cq8f9UA.jpg
nm00697111	Lucas Belvaux	1961	\N	actor,director,writer	tt3489470,tt0234940,tt0233418,tt0233230	https://image.tmdb.org/t/p/{width_variable}/qwUz2r8RPRjWPwwvHIc9RN1t30V.jpg
nm00698711	Rabiah Ben-Abdullah	\N	\N	actress	tt0090665,tt0246906,tt0881932,tt9865452	https://image.tmdb.org/t/p/{width_variable}/waX9XSwWdOhSI6qwRAAqTucJVj4.jpg
nm00700751	Ronit Ben-Menahem	\N	\N	producer	tt0098993	\N
nm00709871	Yves Beneyton	1946	\N	actor	tt0131566,tt0098238,tt0187291,tt0082158	https://image.tmdb.org/t/p/{width_variable}/7qpJyP4UAajDE42dmfMtqfNU1Q3.jpg
nm00710071	John Benfield	1951	2020	actor	tt0811080,tt1034385,tt0795493,tt1924396	https://image.tmdb.org/t/p/{width_variable}/rNyJjeAP0PnQnKukqNbRMZHpxX6.jpg
nm00712501	Mario de Benito	1958	\N	composer,music_department,soundtrack	tt0349248,tt0123685,tt0302447,tt1661862	\N
nm00716261	Brian Bennett	1940	\N	soundtrack,composer,music_department	tt0091853,tt4286574,tt0071059,tt1190536	https://image.tmdb.org/t/p/{width_variable}/GOBYyleNdgISYPcNe6Zpg5ZPqA.jpg
nm00717441	Eloïse Bennett	\N	\N	actress	tt0258694,tt0097106,tt0214694	https://image.tmdb.org/t/p/{width_variable}/wVJfHT50UBjk0s6Jc6qKomDybbp.jpg
nm00718181	Jeff Bennett	1962	\N	actor,music_department,soundtrack	tt0892700,tt0118360,tt0461770,tt0095179	https://image.tmdb.org/t/p/{width_variable}/6Fq3Q1e0Oz0j2J2fnFSl7fKCHd9.jpg
nm00723061	Jean-Louis Benoît	1947	\N	writer,director,actor	tt0099477,tt0120760,tt0129923,tt4781682	\N
nm00725561	Laura Benson	\N	\N	actress	tt4949112,tt12536294,tt0094947,tt0097555	https://image.tmdb.org/t/p/{width_variable}/fuFtnK9SI3911TXlwzg6Qzqw6RX.jpg
nm00729931	Yakov Bentsvi	\N	\N	producer,director,assistant_director	tt3320294,tt5699796,tt1265295,tt0097726	\N
nm00730831	Richard Benwick	\N	\N	editor,production_manager,editorial_department	tt0118480,tt0135067,tt0480804,tt0263746	\N
nm00734881	Géza Bereményi	1946	\N	writer,miscellaneous,director	tt0310567,tt0090128,tt0108408,tt0095086	https://image.tmdb.org/t/p/{width_variable}/slTAThvAIMSy6qQgdleiPEACx8L.jpg
nm00734961	Peter Berenc	\N	\N	writer	tt0098980	\N
nm00738271	Sabine Berg	1958	\N	actress	tt0806910,tt0096745,tt1223934,tt0115088	https://image.tmdb.org/t/p/{width_variable}/zyC4fMW7EHfD99DvgVgZDkaSivY.jpg
nm00739231	Wolf-Dietrich Berg	1944	2004	actor,soundtrack	tt0184118,tt0306760,tt0092389,tt0108777	\N
nm00742131	Jacob Berger	1963	\N	director,writer,actor	tt0096817,tt5934634,tt0294279,tt0824412	\N
nm00744471	Jean Pierre Bergeron	\N	\N	actor,director,writer	tt2058570,tt3288908,tt20564714,tt0337549	https://image.tmdb.org/t/p/{width_variable}/aPJvPwI60KoSmx9HSmXrcnfLvvp.jpg
nm00749091	Helmut Bergmann	1926	1998	cinematographer,writer	tt0053415,tt0056933,tt0057519,tt0065437	\N
nm00753591	Xander Berkeley	1955	\N	actor,producer,make_up_department	tt0118571,tt0184894,tt0103064,tt0115624	https://image.tmdb.org/t/p/{width_variable}/oBoKGfngGGZmSVGFslphYjc23WO.jpg
nm00758071	Marc Berman	\N	\N	actor	tt0806029,tt0267165,tt0473570,tt5687040	https://image.tmdb.org/t/p/{width_variable}/cu07ykzbZnKNDU3GiW6uJfWLrAB.jpg
nm00760041	Adriano Bernacchi	\N	\N	cinematographer	tt0096749,tt9195896,tt4721906,tt1114494	\N
nm00765481	Maurice Bernart	\N	\N	producer,actor,director	tt0092090,tt0075946,tt0078549,tt0092521	\N
nm00766171	Hans Rudolf Berndorff	\N	\N	writer,actor	tt0028440,tt0024520,tt0038086,tt0056456	\N
nm00766791	Dieter Berner	1944	\N	director,writer,actor	tt0234978,tt1294801,tt4558396	https://image.tmdb.org/t/p/{width_variable}/w85uB8AB4yN3rpbsvl303ZLm0pK.jpg
nm00768141	Emmanuèle Bernheim	1955	2017	writer,actress	tt1189076,tt0354356,tt0099239,tt0324133	https://image.tmdb.org/t/p/{width_variable}/mWrUOnhLSNo36Jf6TyEuYCQYhkf.jpg
nm00769141	Franco Bernini	1954	\N	writer,director	tt0095048,tt0103658,tt0119610,tt0101574	\N
nm00771491	Steven Bernstein	\N	\N	cinematographer,camera_department,director	tt1832045,tt0340855,tt1464191,tt3300874	\N
nm00776541	Peter Berry	\N	\N	writer,producer,editor	tt0966151,tt7661390,tt0365651,tt0428134	\N
nm00777241	Ross Berryman	1954	\N	cinematographer,camera_department	tt0105488,tt0097888,tt0102744,tt0097162	\N
nm00787251	Ion Besoiu	1931	2017	actor	tt0129979,tt0069909,tt2294755,tt3065978	https://image.tmdb.org/t/p/{width_variable}/stwEnUFMIcGOPHS1gMvjFj2Eenu.jpg
nm00787601	Agustina Bessa-Luís	1922	2019	writer,actress	tt7746590,tt17939670,tt0112716,tt0120712	https://image.tmdb.org/t/p/{width_variable}/3TTDc5tPEBalKF4Q9BRcvJFUTPq.jpg
nm00787881	Edgar Bessen	1933	2012	actor,soundtrack,writer	tt0108707,tt4388290,tt0164208,tt0140737	https://image.tmdb.org/t/p/{width_variable}/6aatD14mqYOxlSAAqS0LWP3W157.jpg
nm00788431	Gerd Bessler	\N	\N	composer,sound_department	tt0097280,tt0114257,tt0466363,tt3653652	\N
nm00789841	Peter Best	1943	\N	composer,music_department,soundtrack	tt0090555,tt0092493,tt0119002,tt0110598	\N
nm00793421	Liliane Betti	\N	\N	writer,assistant_director,director	tt0094820,tt0110528,tt0094841,tt0071129	\N
nm00795291	David Beuchot	\N	\N	actor	tt0095831	\N
nm00797291	Eddie Beverly Jr.	\N	\N	director,producer,writer	tt0085509,tt0090625,tt0096883,tt0171889	\N
nm00802591	Girish Bhargava	1941	2017	editor,editorial_department,miscellaneous	tt0073952,tt0094512,tt0149439,tt0092890	\N
nm00802881	Amin Bhatia	\N	\N	composer,music_department,soundtrack	tt1059475,tt0118359,tt5421602,tt4338336	\N
nm00805141	Barbara Bialas	\N	\N	editor	tt1387419,tt0882736,tt0202653,tt0184882	\N
nm00806781	Cesare Bianchini	\N	\N	editor,producer,sound_department	tt0130211,tt0092577,tt0069784,tt0059757	\N
nm00808651	Vadim Bibergan	1937	\N	composer,actor	tt0079741,tt0087831,tt0079999,tt0303274	\N
nm00809431	Tony Bicât	\N	\N	director,writer,composer	tt0297626,tt2006718,tt0270884,tt0169886	\N
nm00809811	Charlie Bick	\N	\N	actor,writer	tt0806910	\N
nm00811001	Jan Biczycki	1931	1996	actor,director,miscellaneous	tt0084707,tt0088590,tt0121679,tt0108912	https://image.tmdb.org/t/p/{width_variable}/3Ry6TdSDdLJZIpSd6jZbz10TpKE.jpg
nm00812361	Jens Bidstrup	1960	\N	editor,editorial_department	tt0093985,tt0113761,tt0280124,tt0096845	\N
nm00812681	Horst Bieber	1942	\N	writer	tt0965563,tt0806910,tt0104331	\N
nm00814991	Gerhard Bienert	1898	1986	actor,writer	tt0051577,tt0230875,tt0023563,tt0022100	https://image.tmdb.org/t/p/{width_variable}/lK3MxrK9LUHxPGvXwcejatLmRPb.jpg
nm00815981	Wolf Biermann	1936	\N	composer,soundtrack,actor	tt0114010,tt0059325,tt0259399,tt0406064	https://image.tmdb.org/t/p/{width_variable}/fiWaAtuXlpBwahEWchhH0orQrBB.jpg
nm00822001	Bogusz Bilewski	1930	1995	actor	tt0092426,tt0063043,tt0071689,tt0078511	https://image.tmdb.org/t/p/{width_variable}/aHfu6ifMcUHXXz96weiGAw4YSkF.jpg
nm00824061	Christian Billette	\N	\N	editor,editorial_department,writer	tt0250971,tt0099009,tt0305884,tt6611490	\N
nm00825821	Pierre Billon	\N	\N	writer	tt0147197,tt0809273,tt0096689,tt0218485	\N
nm00826771	Danny Bilson	1956	\N	writer,producer,director	tt9777644,tt0098798,tt0102803,tt0324452	\N
nm00831521	Bionca	1965	\N	actress,director,producer	tt0134393,tt0189969,tt0299540,tt0135880	https://image.tmdb.org/t/p/{width_variable}/gKAAzChKxDr2DSlgdAqvvguNZ9V.jpg
nm00833201	Julie Burchill	1959	\N	writer,actress	tt0452568,tt0297625,tt3893028,tt0496266	\N
nm00838381	Roberto Bisacco	1939	2022	actor	tt0220219,tt0069684,tt0939810,tt0063518	https://image.tmdb.org/t/p/{width_variable}/p6zlcPq6gHrBARtlWc3KHQiB3Ya.jpg
nm00842411	Claudio Bisio	1957	\N	actor,miscellaneous,writer	tt1320297,tt0438097,tt0230011,tt0837562	https://image.tmdb.org/t/p/{width_variable}/cDhzyPQ3446zpRmP523rPFkkl4h.jpg
nm00842891	Patxi Bisquert	1952	\N	actor	tt0088230,tt3530456,tt1242422,tt0297174	https://image.tmdb.org/t/p/{width_variable}/wTY6dycAsvMTPfWVlezyHfu9HOV.jpg
nm00844021	Henryk Bista	1934	1997	actor	tt0093593,tt0108052,tt0095456,tt0097721	https://image.tmdb.org/t/p/{width_variable}/mS9m0Qt7DeAr9OU9z4UsfI2D5f9.jpg
nm00846131	José María Biurrún	\N	\N	editor,editorial_department	tt0375342,tt0119900,tt0120636,tt0092024	\N
nm00854571	Noel Black	1937	2014	director,writer,producer	tt0063456,tt0059725,tt0233023,tt0076365	https://image.tmdb.org/t/p/{width_variable}/bzRB0dax0ojGSdjZHKC4yIVkVR1.jpg
nm00862951	Les Blair	1941	\N	director,writer,producer	tt0119430,tt0290641,tt0106340,tt0297625	\N
nm00864411	Michel Blaise	\N	\N	production_designer,art_director,producer	tt0185299,tt0423713,tt3996758,tt0278089	\N
nm00866111	Julia Blake	1936	\N	actress	tt0429591,tt0078067,tt0458525,tt0251141	https://image.tmdb.org/t/p/{width_variable}/7XMvNqHZyKFVr6BX8ysLBIuuPcQ.jpg
nm00868061	Susan Blakely	1948	\N	actress	tt0093692,tt0072308,tt7780024,tt0070903	https://image.tmdb.org/t/p/{width_variable}/xfl66Wa4LYdcRwoXd9ojn8V55eF.jpg
nm00872611	Guillermo Blanco	\N	\N	costume_designer,costume_department,production_designer	tt0227942,tt0224463,tt0264238,tt0312147	\N
nm00877491	Barbara Blasko	\N	\N	actress	tt0097400,tt13449540,tt0096797,tt0100577	\N
nm00880831	Hans Christian Blech	1915	1993	actor,soundtrack	tt0058947,tt0262111,tt0056197,tt0071483	https://image.tmdb.org/t/p/{width_variable}/i1j95tAZnh1k5O8BJOe3e5rKT80.jpg
nm00884001	Joachim Bliese	1935	2021	actor	tt0404649,tt1289576,tt0453136,tt0101606	https://image.tmdb.org/t/p/{width_variable}/qXsDzbCbYeMuE9oxMZtiUcloTAG.jpg
nm00886761	Axel Block	1947	\N	cinematographer,camera_department,miscellaneous	tt0088056,tt1636836,tt0098981,tt0162852	\N
nm00888041	Jerry Bloedow	\N	\N	editor	tt0347717,tt0082234,tt0202179,tt0097769	\N
nm00892311	Scott Bloom	1973	\N	actor,producer,writer	tt0475394,tt0251160,tt0090094,tt0086827	https://image.tmdb.org/t/p/{width_variable}/5IDCB3GPD3Ma5ESUbxXermdIXbG.jpg
nm00893331	Patrick Blossier	1949	\N	cinematographer,camera_department,producer	tt0280653,tt0129923,tt0091529,tt0444182	https://image.tmdb.org/t/p/{width_variable}/dMZPuK10yotHmkHlE629wi9VtgF.jpg
nm00895021	Albert Pyun	1953	2022	director,writer,producer	tt0091818,tt0097138,tt7008310,tt0084749	https://image.tmdb.org/t/p/{width_variable}/c1lkhBrHiqn5pD0Cm0zg0UU7hHF.jpg
nm00896851	Mark Blum	1950	2020	actor,producer,writer	tt0323944,tt0090555,tt0089017,tt0141842	https://image.tmdb.org/t/p/{width_variable}/xJ9pudGFNrmkD2Lkn4rEYBUCjV2.jpg
nm00897601	Renate Blume	1944	\N	actress	tt0172016,tt0429360,tt0071720,tt0058139	https://image.tmdb.org/t/p/{width_variable}/9Y8dkF3wVPmif1Mu7e9uYVEKmLs.jpg
nm00897771	Hans-Christoph Blumenberg	1947	\N	director,writer,actor	tt1179082,tt0112474,tt0260853,tt0295522	https://image.tmdb.org/t/p/{width_variable}/oXrGIEbWvmqMpRS1WH6zD5UEtmF.jpg
nm00903351	Kurt Bobek	\N	\N	cinematographer,writer,camera_department	tt0121027,tt0078554,tt0092953,tt0463307	\N
nm00906091	Celia Williams	\N	\N	actress	tt4177670,tt2070125,tt1247637,tt0110788	https://image.tmdb.org/t/p/{width_variable}/wcyWRLxW5tOHQHWeXQQbE2A7Syw.jpg
nm00912501	Todd Boekelheide	\N	\N	composer,sound_department,music_department	tt0086879,tt0102015,tt0137523,tt4126312	\N
nm00914301	Budd Boetticher	1916	2001	director,writer,assistant_director	tt0096244,tt0043363,tt0048331,tt0065134	https://image.tmdb.org/t/p/{width_variable}/6TiG3ItMvehkprMTdIDvWZD7jZv.jpg
nm00918731	Yanina Bogolepova	\N	\N	editor	tt0066442,tt0128880,tt0086142,tt0129279	\N
nm00919041	Larisa Bogoslavskaya	\N	\N	actress	tt0097849	\N
nm00920441	Dieter Bohlen	1954	\N	composer,soundtrack,actor	tt0096690,tt0135790,tt0421051,tt0362339	https://image.tmdb.org/t/p/{width_variable}/cbPXql29lDirJQZsqqXYrL6kFq1.jpg
nm00922671	Pierre Boileau	1906	1989	writer	tt0046911,tt0052357,tt0053459,tt0050655	https://image.tmdb.org/t/p/{width_variable}/F6rq2v1RjgenMjNiX0zQeG5RhD.jpg
nm00922681	Thomas Narcejac	1908	1998	writer	tt0052357,tt0050655,tt0046911,tt0053459	https://image.tmdb.org/t/p/{width_variable}/hIAgDXMOuBN9OPGT8SgAtWpBGHH.jpg
nm00922901	Curt Bois	1901	1991	actor,soundtrack,director	tt0042474,tt0034583,tt0093191,tt0048162	https://image.tmdb.org/t/p/{width_variable}/4LeEAQ539JgoRcqX4Er0fGOwoZg.jpg
nm00923721	Yves Boisset	1939	\N	director,writer,assistant_director	tt0071449,tt0068233,tt0082342,tt0076242	https://image.tmdb.org/t/p/{width_variable}/osH9Ke1vL3vQ0ibNBbYvIcZTAE6.jpg
nm00923801	Claude Boissol	1920	2016	director,writer,assistant_director	tt0318355,tt0159042,tt0165570,tt0167600	\N
nm00924851	Agnieszka Bojanowska	1932	2019	editor,editorial_department,producer	tt0093547,tt0093362,tt0091389,tt0080821	\N
nm00925551	K.C. Bokadia	\N	\N	director,writer,producer	tt11262002,tt0172704,tt1920986,tt0251346	\N
nm00931111	Emilio Bolles	\N	\N	producer	tt0135740,tt0189841,tt0203869,tt0087088	\N
nm00932021	Monika Bolly	1968	\N	actress	tt0105522,tt0100999,tt7756986,tt0441074	https://image.tmdb.org/t/p/{width_variable}/9eGCqhK60k9kTG0NM7sRXFujDOT.jpg
nm00932711	Craig Bolotin	1954	\N	writer,director,producer	tt0096933,tt2726560,tt0086759,tt0096035	\N
nm00933611	Heinrich Bolten-Baeckers	1871	1938	producer,director,writer	tt3894936,tt7489836,tt0356802,tt4723266	\N
nm00936051	Lucio Bompani	\N	\N	production_manager,producer,miscellaneous	tt0077864,tt0095975,tt0062940,tt0063482	\N
nm00936061	Barthélémy Bompard	\N	\N	actor,director,writer	tt0341331,tt0098986,tt2979006,tt0241890	\N
nm00940881	Boris Bondarenko	1940	\N	cinematographer,camera_department	tt0168111,tt5159420,tt0089721,tt0085723	\N
nm00946201	Héctor Bonilla	1939	2022	actor,director,writer	tt0295450,tt0076374,tt0098214,tt0070387	https://image.tmdb.org/t/p/{width_variable}/hJLMHwbFgh25yvSw0IgqQAC2Nco.jpg
nm00946251	Jesús Bonilla	1955	\N	actor,director,writer	tt0119974,tt0124958,tt0357991,tt0362372	https://image.tmdb.org/t/p/{width_variable}/sRbDlpCYqMVaw73bvTraBb5VtTS.jpg
nm00946631	Claude Bonin	\N	\N	producer,writer,production_manager	tt0106931,tt0090648,tt0091785,tt0264557	\N
nm00947301	Claudio Bonivento	1950	\N	producer,director,writer	tt0097870,tt5746178,tt0108059,tt1517805	https://image.tmdb.org/t/p/{width_variable}/v3f5U5AuXDB4oG8RSs8BJxk5SVw.jpg
nm00949861	Stéphane Bonnet	\N	\N	actor	tt0100866,tt1064976,tt0100428,tt0099283	https://image.tmdb.org/t/p/{width_variable}/4Liq3zQjOrzqDxq0rkALpXgeCT3.jpg
nm00957551	Marlene Booth	1948	\N	producer,director	tt0185026,tt1542028,tt0089043,tt2498308	\N
nm00957931	Robert Brodie Booth	\N	\N	writer,actor,miscellaneous	tt0198286,tt0093496,tt0100300,tt0139064	\N
nm00959661	Arianne Borbach	1962	\N	actress,miscellaneous	tt0174870,tt0376966,tt0497289,tt0371376	https://image.tmdb.org/t/p/{width_variable}/x5U7Pve033SXQF5uL1xjmm9SDrE.jpg
nm00961491	Michael Sweney	\N	\N	assistant_director,location_management,miscellaneous	tt0099004,tt0176357,tt0081398,tt0086465	\N
nm00965011	Nelly Borgeaud	1931	2004	actress,soundtrack	tt0078338,tt0076155,tt0098534,tt0064990	https://image.tmdb.org/t/p/{width_variable}/kRp5lZ4yulhLGNxFVQecUYhJSLN.jpg
nm00965091	Peter Borgelt	1927	1994	actor	tt0806901,tt0123884,tt0125365,tt0806910	https://image.tmdb.org/t/p/{width_variable}/5iIKfF1qInBugqZcIR1K75SNIeN.jpg
nm00967741	Marcel Bories	\N	\N	actor	tt0097884	\N
nm00968441	Lev Borisov	1933	2011	actor	tt0350475,tt0052600,tt0075468,tt0051175	https://image.tmdb.org/t/p/{width_variable}/gloKCPpeIAjwr8g9HZDE5RY477X.jpg
nm00969471	Jacek Borkowski	1959	\N	actor,soundtrack	tt1070703,tt0084549,tt0262975,tt0093547	https://image.tmdb.org/t/p/{width_variable}/j7l8uWLLqf3U94IWh91CCRe86F2.jpg
nm00971801	Aleksandr Borodyanskiy	1944	\N	writer,actor,director	tt2318405,tt0148059,tt0262329,tt0108172	https://image.tmdb.org/t/p/{width_variable}/je8V23RYOrtRpgioUdOUAQN6qoc.jpg
nm00974271	Ricard Borràs	\N	\N	actor	tt0338623,tt0297174,tt0231040,tt4494774	https://image.tmdb.org/t/p/{width_variable}/2c6z7IC6zRLoNR2cToFQ18E1Sbb.jpg
nm00974511	Helga Borsche	1939	\N	editor,director,editorial_department	tt0099445,tt0077479,tt0102282,tt0090996	\N
nm00974541	Margret Borsche	\N	\N	editor	tt0889258,tt0251519,tt0094661,tt0126743	\N
nm00975411	Vladimir Bortko	1946	\N	director,writer,producer	tt0366028,tt3152000,tt0137432,tt0403783	https://image.tmdb.org/t/p/{width_variable}/h1U1tajFjGyPSJRK5imXlKU0mnt.jpg
nm00977211	Birgitt Bosboom	\N	\N	editor	tt0094524,tt0112239,tt0806910,tt0464005	\N
nm00983271	Andy Boswell	\N	\N	actor,art_department,special_effects	tt1885235,tt1456964,tt1217259,tt2017109	\N
nm00983901	Oldrich Bosák	1922	1996	production_designer,art_director,art_department	tt0124888,tt0067464,tt0060802,tt0070832	\N
nm00984561	Juan Botella	1961	\N	art_director,production_designer,set_decorator	tt0103791,tt0115949,tt0962709,tt0293191	\N
nm00987091	Juan Diego Botto	1975	\N	actor,director,writer	tt0115850,tt6334354,tt12306964,tt0103594	https://image.tmdb.org/t/p/{width_variable}/bW4Tfc5XOq0DzElgJrkepHGzoOg.jpg
nm00989181	Michel Bouchard	\N	\N	art_department,writer,director	tt0253353,tt0269968,tt0227445,tt0269951	\N
nm00992761	Férid Boughedir	1944	\N	director,writer,actor	tt0114775,tt0302385,tt4153052,tt0090665	https://image.tmdb.org/t/p/{width_variable}/53hqwxWDK5WR2cgDe983wNwteDd.jpg
nm00992771	Selim Boughedir	\N	\N	actor	tt0090665	https://image.tmdb.org/t/p/{width_variable}/rKTA1pltcjk5h1PF16AZHYCZrim.jpg
nm00993711	Evelyne Bouix	1953	\N	actress	tt0115638,tt0085477,tt0092130,tt0084340	https://image.tmdb.org/t/p/{width_variable}/jFciG9VgOybIcozhDSHXMD4tIFk.jpg
nm00993841	Michel Boujut	1940	2011	producer,writer,director	tt0097893,tt0341718,tt0071842,tt9074082	\N
nm01005251	Nouri Bouzid	1945	\N	writer,director,actor	tt0125003,tt0340910,tt0976145,tt0091470	https://image.tmdb.org/t/p/{width_variable}/bR39LfzgtY9o5Yw5x1PzSzDFS54.jpg
nm01012081	Norman Bowler	1932	\N	actor	tt0054518,tt0065922,tt0068069,tt1868096	https://image.tmdb.org/t/p/{width_variable}/tHEkr21iYLUgoNaQQKPE4xtmAmg.jpg
